SongName,Genre,AvgAmplitude,ZeroCrossingRate,SpectralCentroid
pop_001,Pop,0.45,0.120,500.0
pop_002,Pop,0.50,0.150,520.0
pop_003,Pop,0.42,0.130,490.0
pop_004,Pop,0.48,0.140,510.0
pop_005,Pop,0.46,0.125,505.0
pop_006,Pop,0.52,0.155,530.0
pop_007,Pop,0.44,0.135,495.0
pop_008,Pop,0.49,0.145,515.0
pop_009,Pop,0.47,0.128,508.0
pop_010,Pop,0.51,0.152,525.0
rock_001,Rock,0.65,0.250,480.0
rock_002,Rock,0.70,0.300,450.0
rock_003,Rock,0.62,0.270,470.0
rock_004,Rock,0.68,0.290,460.0
rock_005,Rock,0.66,0.260,475.0
rock_006,Rock,0.72,0.310,445.0
rock_007,Rock,0.64,0.275,468.0
rock_008,Rock,0.69,0.295,455.0
rock_009,Rock,0.67,0.265,472.0
rock_010,Rock,0.71,0.305,448.0
classical_001,Classical,0.25,0.050,200.0
classical_002,Classical,0.28,0.060,210.0
classical_003,Classical,0.22,0.045,195.0
classical_004,Classical,0.26,0.055,205.0
classical_005,Classical,0.24,0.048,198.0
classical_006,Classical,0.29,0.062,215.0
classical_007,Classical,0.23,0.047,197.0
classical_008,Classical,0.27,0.058,208.0
classical_009,Classical,0.25,0.052,202.0
classical_010,Classical,0.30,0.065,220.0
jazz_001,Jazz,0.30,0.080,250.0
jazz_002,Jazz,0.33,0.090,260.0
jazz_003,Jazz,0.28,0.075,245.0
jazz_004,Jazz,0.31,0.085,255.0
jazz_005,Jazz,0.29,0.078,248.0
jazz_006,Jazz,0.34,0.095,265.0
jazz_007,Jazz,0.27,0.073,243.0
jazz_008,Jazz,0.32,0.088,258.0
jazz_009,Jazz,0.30,0.082,252.0
jazz_010,Jazz,0.35,0.098,270.0
electronic_001,Electronic,0.55,0.180,600.0
electronic_002,Electronic,0.58,0.195,620.0
electronic_003,Electronic,0.53,0.175,595.0
electronic_004,Electronic,0.56,0.185,605.0
electronic_005,Electronic,0.54,0.178,598.0
electronic_006,Electronic,0.59,0.200,625.0
electronic_007,Electronic,0.52,0.172,592.0
electronic_008,Electronic,0.57,0.190,612.0
electronic_009,Electronic,0.55,0.182,602.0
electronic_010,Electronic,0.60,0.205,630.0
